[2025-11-10 03:58:27.094000Z] Usuario: Johan | Categoría: entretenimiento | Puntaje: 9
[2025-11-10 05:14:09.409000Z] Usuario: Johan | Categoría: entretenimiento | Puntaje: 0
[2025-11-10 05:14:09.428000Z] Usuario: Maria | Categoría: entretenimiento | Puntaje: 0
[2025-11-10 05:15:59.168000Z] Usuario: Johan | Categoría: entretenimiento | Puntaje: 15
[2025-11-10 05:33:33.268000Z] Usuario: Johan | Categoría: entretenimiento | Puntaje: 15
[2025-11-10 05:34:52.003000Z] Usuario: Johan | Categoría: entretenimiento | Puntaje: 0
[2025-11-10 05:34:52.005000Z] Usuario: Maria | Categoría: entretenimiento | Puntaje: 0
[2025-11-10 05:38:16.476000Z] Usuario: Johan | Categoría: entretenimiento | Puntaje: 0
[2025-11-10 05:38:16.482000Z] Usuario: Maria | Categoría: entretenimiento | Puntaje: 0
[2025-11-14 06:03:11.388000Z] Usuario: Johan | Categoría: entretenimiento | Puntaje: 10
[2025-11-14 06:03:11.413000Z] Usuario: Maria | Categoría: entretenimiento | Puntaje: 10
